,ARIMA,HW,SARIMA,RNN,MLP,GRU
ARIMA,1.0,1.0,1.0,2.0281021090402647e-08,1.5310853785930407e-05,3.516924613948351e-06
HW,1.0,1.0,1.0,9.928192060241327e-10,8.745149752921661e-07,2.0850866859980456e-07
SARIMA,1.0,1.0,1.0,9.928192060241327e-10,8.745149752921661e-07,2.0850866859980456e-07
RNN,2.0281021090402647e-08,9.928192060241327e-10,9.928192060241327e-10,1.0,0.2352298241297957,0.5275272843226106
MLP,1.5310853785930407e-05,8.745149752921661e-07,8.745149752921661e-07,0.2352298241297957,1.0,1.0
GRU,3.516924613948351e-06,2.0850866859980456e-07,2.0850866859980456e-07,0.5275272843226106,1.0,1.0
