,ARIMA,HW,SARIMA,RNN,MLP,GRU
ARIMA,1.0,1.0,1.0,1.667230731437312e-09,8.241580824746132e-07,3.981159590799648e-07
HW,1.0,1.0,1.0,1.613488855345563e-10,8.913162462762156e-08,4.5417155703381316e-08
SARIMA,1.0,1.0,1.0,1.613488855345563e-10,8.913162462762156e-08,4.5417155703381316e-08
RNN,1.667230731437312e-09,1.613488855345563e-10,1.613488855345563e-10,1.0,0.3019007844045032,0.42618881252631585
MLP,8.241580824746132e-07,8.913162462762156e-08,8.913162462762156e-08,0.3019007844045032,1.0,1.0
GRU,3.981159590799648e-07,4.5417155703381316e-08,4.5417155703381316e-08,0.42618881252631585,1.0,1.0
