,ARIMA,HW,SARIMA,RNN,MLP,GRU
ARIMA,1.0,1.0,1.0,5.5007303103358686e-11,1.2602272128093e-07,1.3667164633032334e-06
HW,1.0,1.0,1.0,5.039683365609314e-12,9.969675621010518e-09,1.2602272128093e-07
SARIMA,1.0,1.0,1.0,5.039683365609314e-12,9.969675621010518e-09,1.2602272128093e-07
RNN,5.5007303103358686e-11,5.039683365609314e-12,5.039683365609314e-12,1.0,0.10258918910369881,0.015033271894894139
MLP,1.2602272128093e-07,9.969675621010518e-09,9.969675621010518e-09,0.10258918910369881,1.0,1.0
GRU,1.3667164633032334e-06,1.2602272128093e-07,1.2602272128093e-07,0.015033271894894139,1.0,1.0
