,ARIMA,HW,SARIMA,RNN,MLP,GRU
ARIMA,1.0,1.0,1.0,3.463969382074745e-10,1.1325304683696616e-06,2.210745796050985e-07
HW,1.0,1.0,1.0,3.272688752373936e-11,1.1436168797009053e-07,2.369604838583645e-08
SARIMA,1.0,1.0,1.0,3.272688752373936e-11,1.1436168797009053e-07,2.369604838583645e-08
RNN,3.463969382074745e-10,3.272688752373936e-11,3.272688752373936e-11,1.0,0.07927756166696805,0.22402872486137929
MLP,1.1325304683696616e-06,1.1436168797009053e-07,1.1436168797009053e-07,0.07927756166696805,1.0,1.0
GRU,2.210745796050985e-07,2.369604838583645e-08,2.369604838583645e-08,0.22402872486137929,1.0,1.0
