Fold,RMSE,MAE,MASE,SMAPE
1,143.93864112820947,113.7054343561696,73.66298903472776,111.58421779456276
2,308.2549862102289,93.86779768183574,59.76302908436061,90.27177602776888
3,4.253005349833325,3.528199406292783,2.456901719563983,31.844152063250487
4,1.684547455188997,1.343137269993205,0.9813179855318148,15.614320775286961
5,1.8324488691677114,1.5763873771989487,1.2455910622945061,18.361406477678287
6,2.9965968819512527,2.469910030271487,2.075634292515179,27.64865813023143
7,2.9121642505567324,2.3051902403681037,2.0538906753803854,26.44200663772368
8,5.004063889558001,4.58766129093122,4.281621025211626,36.36262174357101
9,4.133680195536231,3.679029565828933,3.563515011925536,37.240031178414206
10,0.9484104223578269,0.724717588867053,0.7133201864391002,11.20120887034485
